pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
obj21,,,The Bitter Waters,6/10/06,photo,,,21,gallery_item,visual-gallery,/img/derivatives/simple/obj21/thumbnail.jpg,/img/derivatives/simple/obj21/full.jpg,
obj22,,,The Scorched Earth,6/10/06,photo,,,22,gallery_item,visual-gallery,/img/derivatives/simple/obj22/thumbnail.jpg,/img/derivatives/simple/obj22/full.jpg,
obj23,,,Torches to Plough Shares,6/10/06,photo,,,23,gallery_item,visual-gallery,/img/derivatives/simple/obj23/thumbnail.jpg,/img/derivatives/simple/obj23/full.jpg,
obj24,,,Order of Battle,6/10/06,photo,,,24,gallery_item,visual-gallery,/img/derivatives/simple/obj24/thumbnail.jpg,/img/derivatives/simple/obj24/full.jpg,
obj25,,,Tortured Tree,6/10/06,photo,,,25,gallery_item,visual-gallery,/img/derivatives/simple/obj25/thumbnail.jpg,/img/derivatives/simple/obj25/full.jpg,
obj26,,,Boyd-Parker Park 1,6/10/06,photo,,,26,gallery_item,visual-gallery,/img/derivatives/simple/obj26/thumbnail.jpg,/img/derivatives/simple/obj26/full.jpg,
obj27,,,I'll Take Manhattan!,6/14/06,photo,,,27,gallery_item,visual-gallery,/img/derivatives/simple/obj27/thumbnail.jpg,/img/derivatives/simple/obj27/full.jpg,
obj28,,,"Old Wine, New Bottle",6/14/06,photo,,,28,gallery_item,visual-gallery,/img/derivatives/simple/obj28/thumbnail.jpg,/img/derivatives/simple/obj28/full.jpg,
obj29,,,"""The White Woman, Mary Jemison""",6/14/06,photo,,,29,gallery_item,visual-gallery,/img/derivatives/simple/obj29/thumbnail.jpg,/img/derivatives/simple/obj29/full.jpg,
obj3,Peter Jemison,online,Indians Have Always Paid The Price,1995,composite,,,3,gallery_item,visual-gallery,/img/derivatives/simple/obj3/thumbnail.jpg,/img/derivatives/simple/obj3/full.jpg,
obj30,,,Gen. John Sullivan with Spear,6/14/06,photo,,,30,gallery_item,visual-gallery,/img/derivatives/simple/obj30/thumbnail.jpg,/img/derivatives/simple/obj30/full.jpg,
obj31,,,Not One Inch...,6/14/06,photo,,,31,gallery_item,visual-gallery,/img/derivatives/simple/obj31/thumbnail.jpg,/img/derivatives/simple/obj31/full.jpg,
obj32,,,Stamped in History,6/14/06,photo,,,32,gallery_item,visual-gallery,/img/derivatives/simple/obj32/thumbnail.jpg,/img/derivatives/simple/obj32/full.jpg,
obj33,,,General Sullivan's Slave House,6/14/06,photo,,,33,gallery_item,visual-gallery,/img/derivatives/simple/obj33/thumbnail.jpg,/img/derivatives/simple/obj33/full.jpg,
obj34,,,Innovation,6/14/06,photo,,,34,gallery_item,visual-gallery,/img/derivatives/simple/obj34/thumbnail.jpg,/img/derivatives/simple/obj34/full.jpg,
obj35,,,Big Tree Under Glass,6/14/06,photo,,,35,gallery_item,visual-gallery,/img/derivatives/simple/obj35/thumbnail.jpg,/img/derivatives/simple/obj35/full.jpg,
obj36,,,Rematch 1,6/14/06,photo,,,36,gallery_item,visual-gallery,/img/derivatives/simple/obj36/thumbnail.jpg,/img/derivatives/simple/obj36/full.jpg,
obj37,,,"For You, the Precious",6/14/06,photo,,,37,gallery_item,visual-gallery,/img/derivatives/simple/obj37/thumbnail.jpg,/img/derivatives/simple/obj37/full.jpg,
obj38,,,Rematch 2,6/14/06,photo,,,38,gallery_item,visual-gallery,/img/derivatives/simple/obj38/thumbnail.jpg,/img/derivatives/simple/obj38/full.jpg,
obj39,,,Road to Tribes Hill,6/14/06,photo,,,39,gallery_item,visual-gallery,/img/derivatives/simple/obj39/thumbnail.jpg,/img/derivatives/simple/obj39/full.jpg,
